Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
TCS,3.7,85.8k,IT Services & Consulting,Bangalore / Bengaluru +377 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,53.7k,IT Services & Consulting,Bangalore / Bengaluru +193 other locations,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Wipro,3.7,51k,IT Services & Consulting,Bangalore / Bengaluru +340 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Cognizant,3.8,48k,IT Services & Consulting,Chennai +192 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.8,39.7k,IT Services & Consulting,Bangalore / Bengaluru +158 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,38.1k,Banking,Mumbai +1626 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Infosys,3.7,37.3k,IT Services & Consulting,Bangalore / Bengaluru +199 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,4.0,37.1k,Banking,Mumbai +1334 other locations,"Job Security, Skill Development / Learning, Company Culture",None
HCLTech,3.5,34.5k,IT Services & Consulting,Chennai +200 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,33.7k,IT Services & Consulting,Hyderabad / Secunderabad +285 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,30.3k,IT Services & Consulting,Hyderabad / Secunderabad +133 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9,28.1k,BPO,Mumbai +206 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Concentrix Corporation,3.8,25.4k,BPO,Bangalore / Bengaluru +138 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Axis Bank,3.8,24.6k,Banking,Mumbai +1358 other locations,None,Promotions / Appraisal
Amazon,4.1,24.3k,Internet,Bangalore / Bengaluru +459 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
Jio,3.9,21.9k,Mumbai +1202 other locations,Unknown,"Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,21.6k,Retail,Mumbai +1044 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
iEnergizer,4.7,21.5k,BPO,Noida +39 other locations,"Company Culture, Skill Development / Learning, Job Security",None
